pro_id;pro_nama;dapil_id;dapil_kode;dapil_nama;URUTAN_SUARA_PARTAI;partai_id;PARTAI POLITIK;Urutan1;id;nama;nomor_urut;jenis_kelamin;tempat_tinggal;Suara;% SUARA;URUTAN SUARA;KURSI KE 1;KURSI KE 2;KURSI KE 3;KURSI KE 4;KURSI KE 5;URUTAN KURSI;TOTAL;JUMLAH KURSI;;PROVINSI;DAPIL DPRRI;;;;;;
11;ACEH;5001;1101;ACEH I;7;14;PARTAI DEMOKRAT;1;999999;SUARA PARTAI;;;;10891;0,083192655;;;;;;;0;0;0;;BANTEN;BANTEN II;6;1;BANTEN;BANTEN II;6;0
11;ACEH;5001;1101;ACEH I;7;14;PARTAI DEMOKRAT;2;111041;H. TEUKU RIEFKY HARSYA;1;L;KOTA ADM. JAKARTA SELATAN;88005;0,672240343;1;6;;;;;6;1;1;;BANTEN;BANTEN III;10;1;BANTEN;BANTEN III;10;1
11;ACEH;5001;1101;ACEH I;7;14;PARTAI DEMOKRAT;2;111042;H. T. IBRAHIM S.T. M.M.;2;L;ACEH BESAR;12653;0,096651975;2;;;;;;0;0;0;;BALI;BALI;9;1;BALI;BALI;9;0
11;ACEH;5001;1101;ACEH I;7;14;PARTAI DEMOKRAT;2;111044;KHAIRULLAH;4;L;KOTA ADM. JAKARTA TIMUR;5274;0,040286297;3;;;;;;0;0;0;;NUSA TENGGARA BARAT;NUSA TENGGARA BARAT I;3;1;NUSA TENGGARA BARAT;NUSA TENGGARA BARAT I;3;0
11;ACEH;5001;1101;ACEH I;7;14;PARTAI DEMOKRAT;2;111047;TEUKU RASSYA I. PASYA;7;L;KOTA ADM. JAKARTA SELATAN;5004;0,038223859;4;;;;;;0;0;0;;NUSA TENGGARA BARAT;NUSA TENGGARA BARAT II;8;1;NUSA TENGGARA BARAT;NUSA TENGGARA BARAT II;8;0
11;ACEH;5001;1101;ACEH I;7;14;PARTAI DEMOKRAT;2;111045;Tgk. HARMEN NURIQMAR S.S.;5;L;ACEH BARAT;4378;0,033442057;5;;;;;;0;0;0;;NUSA TENGGARA TIMUR;NUSA TENGGARA TIMUR I;6;1;NUSA TENGGARA TIMUR;NUSA TENGGARA TIMUR I;6;0
11;ACEH;5001;1101;ACEH I;7;14;PARTAI DEMOKRAT;2;111043;NURHAYATI;3;P;GAYO LUES;3379;0,025811035;6;;;;;;0;0;0;;NUSA TENGGARA TIMUR;NUSA TENGGARA TIMUR II;7;1;NUSA TENGGARA TIMUR;NUSA TENGGARA TIMUR II;7;0
11;ACEH;5001;1101;ACEH I;7;14;PARTAI DEMOKRAT;2;111046;RIZQA ZANIA;6;P;KOTA BANDA ACEH;1329;0,01015178;7;;;;;;0;0;0;;KALIMANTAN BARAT;KALIMANTAN BARAT I;8;1;KALIMANTAN BARAT;KALIMANTAN BARAT I;8;0
11;ACEH;5001;1101;ACEH I;7;14;PARTAI DEMOKRAT;3;333333;TOTAL SUARA PARTAI;;;;130913;0,079388894;;;;;;;;;1;;KALIMANTAN BARAT;KALIMANTAN BARAT II;4;1;KALIMANTAN BARAT;KALIMANTAN BARAT II;4;1
11;ACEH;5001;1101;ACEH I;8;8;PARTAI KEADILAN SEJAHTERA;1;999999;SUARA PARTAI;;;;15586;0,130338432;;;;;;;0;0;0;;KALIMANTAN TENGAH;KALIMANTAN TENGAH;6;1;KALIMANTAN TENGAH;KALIMANTAN TENGAH;6;1
